"sentence","event_type"
"Bahrain security forces launched a pre-dawn raid to clear Pearl Roundabout in Manama of the protesters camped there, most of whom were at the time asleep in tents; four were killed and about 300 injured.","Injury"
"More attacks happened in the city afterwards.","Attack"
"The natives deployed a significant amount of guerrilla warfare, which they ambushed, skirmished, disengaged and retreated repeatedly.","Attack"
"Two Korean forwards had continued to argue with the umpire on the disallowed goal.","Protest"
"Political reforms were varied, but in only four countries were Communist parties able to retain a monopoly on power, namely China, Cuba, Laos and Vietnam (North Korea went through a constitutional change in 2009 that made it nominally no longer Communist, but still ""de facto"" organised on Stalinist lines).","None"
"A police SWAT team eventually arrived bearing sufficient firepower, and they commandeered an armored truck to evacuate the wounded.","Injury"
"Hurricane Odile was the second of three tropical storms to make landfall in Mexico during the 1984 Pacific hurricane season.","Disaster"
"The event takes its name from its culmination, the symbolic ritual burning of a large wooden effigy (""The Man"") that traditionally occurs on the Saturday evening of the event.First held in 1986 on Baker Beach in San Francisco as a small function organized by Larry Harvey and Jerry James who built the first ""Man"", it has since been held annually, spanning the nine days leading up to and including Labor Day (the opening day is a Sunday, while the closing day is the first Monday in September).","Disaster"
"Investigation of the crash revealed that the faulty auto-throttle reduced the left engine to idle during climb.","Investigation"
"In response, the Ukrainian Yatsenyuk Government created the first Anti-Terrorist Operations zone (ATO) and launched a series of counter-offensives against the insurgents, resulting in a standoff and violent skirmishes.","Attack"
"Calculations of the total number of Gazans killed by the IDF in this four-month period of Israeli rule vary between 930 and 1,200 people, out of a population of 330,000.","Injury"
"The U.S. attack faltered as artillery and food supplies were left behind on the muddy roads.","Attack"
"Though the bill was passed by the majority of those sitting in the Legislative Assembly, it remained unpopular with the Loyalist population of Montreal, who decided to use violence to demonstrate their opposition.","Protest"
"Linda later struck Thailand, causing flash flooding and at least 164 deaths.","Attack"
"Still moving westward, the system reached Category 4 intensity before striking Guadeloupe on September 12, where it brought great destruction and resulted in 1,200 deaths.","Disaster"
"Gunner Richard Dunne and Alan Horsley, a sales clerk, died in that explosion.","Attack"
"The Battle of Mahidpur was fought during the Third Anglo-Maratha War between the Holkar faction of the Maratha Confederacy and the British East India Company at Mahidpur, a town in the Malwa region, on 21 December 1817.","Attack"
"The storm rapidly weakened over land, but restrengthened in the Mozambique Channel to reach peak 10‑minute winds of , making it an intense tropical cyclone.","None"
"The operation was criticised for its poor planning and execution, insufficient preparation, reconnaissance and training, and inappropriate command and control methods applied by the Sisak Operational Group in charge of the offensive.","None"
"Both robbers were killed, twelve police officers and eight civilians were injured, and numerous vehicles and other property were damaged or destroyed by the nearly 2,000 rounds of ammunition fired by the robbers and police.","Disaster"
"It crashed near Johannisthal Air Field about 10 miles southeast of Berlin.","Attack"
"The Kazan city government arranged for residents of the building destroyed in the blast to receive apartments in newly constructed buildings.","Disaster"
"The march garnered much media attention, much of it focused on what was seen as the cold and insulting dismissal of many important community leaders, as well as the people in Europe they were fighting for.","Attack"
"Indigenous Australians led by Pemulwuy also conducted raids around Parramatta during the period between 1795 and 1802.","Attack"
"Hurricane Doreen was considered the worst tropical cyclone to affect California in 32 years.","Disaster"
"Of the 173-192 fatalities in Canada, most of them occurred due to damaged or missing ships, with two boats losing their entire crew.","None"
"""Unfinished Business"" was certified platinum by the Recording Industry Association of America (RIAA) on December 1 for selling more than 1,000,000 copies in the US.","Investigation"
"The Mine Safety and Health Administration of the United States Department of Labor reported the explosion was caused when an underburdened shot or blown-out shot ignited coal dust.","Disaster"
"In May 1709, the Swedish forces caught up to the Russians, and the two armies clashed in the Battle of Poltava.","Attack"
"In light of this, the South Lebanon conflict can be seen as a part of the Lebanese Civil War.","Attack"
"Tropical Storm Agatha was a weak but catastrophic tropical cyclone that brought widespread floods to much of Central America, and was the deadliest tropical cyclone in the eastern Pacific since Hurricane Pauline in 1997.","Disaster"
"The number of people in the city on the day of the earthquake was lower than usual, due to a strike by local bus drivers.","Attack"
"One study suggested that a record number of lightning ignitions during 2014 drove a significant amount of the fires.","Disaster"
"Stanišić and Simatović were initially acquitted, but their acquittals were overturned on appeal, and they are being retried.","None"
"Associations affiliated with FIFA were invited to send their senior women's and men's under-23 national teams to participate; men's teams were allowed to augment their squads with three players over the age of 23.","None"
"On that day, 242 Japanese aircraft, in two separate raids, attacked the town, ships in Darwin's harbour and the town's two airfields in an attempt to prevent the Allies from using them as bases to contest the invasion of Timor and Java during World War II.","Attack"
"Even so, most of the original Neapolitan force had been killed, wounded or deserted, and Murat's force only totalled 15,000.","Injury"
"The album was certified double platinum by the Federation of the Italian Music Industry.","Investigation"
"The crowd eventually dispersed after Acting Governor Thomas Hutchinson promised an inquiry, but they re-formed the next day, prompting withdrawal of the troops to Castle Island.","Investigation"
"It curved north-northeast and briefly emerged into the Atlantic on September 18, but soon made another landfall near Edisto Island, South Carolina with winds of .","None"
"He also broke the record for the highest altitude jump, set in 1960 by USAF Colonel Joseph Kittinger, who was Baumgartner's mentor and capsule communicator at mission control.","Disaster"
"A 2016 hazard map from the United States Geological Survey estimated a 1% or lower risk for a major earthquake in Kansas for the following year, though scientists from the agency think an earthquake of magnitude 7.0 remains possible.","Disaster"
"In 1837 and 1838 Canadians rebelled against the oligarchic rule of the British colonial administration, first in Lower Canada, then in Upper Canada (or the Canadian provinces of Quebec and Ontario respectively).","Attack"
"In neighboring Dominican Republic, flooding isolated several towns and caused mudslides that killed 12 people.","Disaster"
"On 6 February 1996, the 757-200 operating the route crashed shortly after take-off from Puerto Plata's Gregorio Luperón International Airport.","Disaster"
"The Japanese also sank or damaged three cruisers, three destroyers, an anti-aircraft training ship, and one minelayer.","Disaster"
"It was confirmed in December 2011 that the cost of the operations was £212m – less than was estimated, including £67m for replacing spent munitions, is all expected to be met from the Treasury reserve.","Investigation"
"The bombers were tried and convicted in 1997.","Investigation"
"After an intensive battle on the night of 3 July, some partisan units broke the siege, but the main group again came under siege the next night and was mostly destroyed.","Disaster"
"The British forces then sortied, supported by recently arrived Royal Navy ships, and they attacked the retreating Americans.","Attack"
"The perpetrators were not immediately identified.","Investigation"
"The Battle of Rafa, also known as the Action of Rafah, fought on 9 January 1917, was the third and final battle to complete the recapture of the Sinai Peninsula by British forces during the Sinai and Palestine Campaign of the First World War.","Attack"
"Advance warning in the country prevented any storm-related fatalities, although four people suspected of looting were shot and killed during a curfew in Havana.","Injury"
"Each of the disputes ended with an Icelandic victory.","Attack"
"It also demonstrated that the effective suppression of student activism and the de-politicisation of the universities ranked high among the strategic goals of the new government.","Protest"
"Sacrifice 2009 featured Beer Money, Inc. defeating The British Invasion in the finals of the Team 3D Invitational Tag Team Tournament.","None"
"In 2015 there were 1,010 earthquakes in the CEUS region.","Disaster"
"The Chetniks attacked, led by Lieutenant Colonel Veselin Misita, who was killed during the assault.","Attack"
"The circumstances of the injuries were initially unclear; eyewitness accounts suggested that the officers involved used unnecessary force against Gray during the arrest—a claim denied by all officers involved.","Injury"
"The first fire began on July 8 near the Entiat River.","Disaster"
"The Pope was struck four times and suffered severe blood loss.","Attack"
"Severe Tropical Storm Cecil in May of 1989 caused devastating floods in central Vietnam, killing 751 people.","Disaster"
"Protest organizers said roughly 96,000 calls were placed to members of Congress and 555,000 ""pro-privacy emails"" were sent via the website.","None"
"Mexico City officials stated that at least 44 people were killed, with another twelve injured.","Injury"
"The top secret lists identified more than 61,000 members of the Polish elite: activists, intelligentsia, scholars, clergy, actors, former officers and others, who were to be interned or shot.","Investigation"
"In 1986 the Attorney General of Israel, Yitzhak Zamir, was forced to resign after he refused to call off an investigation into the Shin Bet's role in the affair.","Investigation"
"Aeroflot Flight 331, refers to an Ilyushin Il-62M, that crashed approximately away from José Martí International Airport, in Havana, Cuba, on 27 May 1977.","Disaster"
"As a result of the Tiernan murder inquiry, police re-opened at least ten further cold case murder investigations.","Injury"
"The lack of a clear victory by imperial forces led Governor Thomas Gore Browne to turn his attention to the Waikato, the centre of the Kingite movement, where king Tāwhiao was attracting the allegiance of increasing numbers of Māori across the North Island.","None"
"It is organised by Mar Thoma Evangelistic Association, the missionary wing of the Malankara Mar Thoma Syrian Church.","None"
"Operation Winter '94 (, Операција Зима '94) was a joint military offensive of the Croatian Army (HV) and the Croatian Defence Council (HVO) fought in southwestern Bosnia and Herzegovina between 29 November and 24 December 1994.","Attack"
"Two F-15Cs destroyed two Mirage F1s with AIM-7 missiles.","Disaster"
"The accident was investigated by the Accident Board of the Bureau of Air Commerce, under the authority of the Department of Commerce.","Investigation"
"Hurricane Norbert marked the first time a core of a hurricane was fully mapped in three-dimensions.","None"
"Hurricane Beta was a compact and intense tropical cyclone that impacted the southwestern Caribbean in late October 2005.","None"
"Three signalmen were present in the signalbox, the enquiry found that one of them had pulled the wrong lever; he had intended to set the points for the incoming train but instead set the points ahead of the Scarborough.","Investigation"
"Boulder County was worst hit, with recorded September 12 and up to of rain recorded by September 15, which is comparable to Boulder County's average annual precipitation (20.7 inches, 525 mm).","Attack"
"While police in the first investigation said that victims were killed on September 12, ""The Boston Globe"", ""Boston Herald"", and ""The Wall Street Journal"" reported that at least one relative of the victims believes that the killings took place on September 11.","Injury"
"According to the single best eyewitness chronicle—the bakhar by Shuja-ud-Daulah's Diwan Kashi Raj—about 40,000 Maratha prisoners were slaughtered in cold blood the day after the battle.","Injury"
"In addition, the killers claimed to have investigated passengers' cellphones and text messages to determine if they were involved with the Gulf Cartel or not, and that they were particularly worried about buses coming in from the states of Durango and Michoacán, two strongholds of the rival La Familia and the Sinaloa Cartels.","Investigation"
"An RCMP investigation concluded that the cause of the fire was arson; however, no arrests were made.","Disaster"
"In March of the following year, the Storm of the Century caused worse damage across a larger region of the eastern United States.","Disaster"
"This campaign was the first major test for the new Sultan against western Europe and a high point of a diplomatic struggle between the major Mediterranean powers.","Attack"
"Initially a tropical storm, it moved westward across the Caribbean Sea.","Disaster"
"This made it one of the costliest United States hurricanes at the time; as of 2013, it ranked thirty-second in the category.","None"
"The rest of those indicted or convicted were all pardoned in the final days of the presidency of George H. W. Bush, who had been Vice President at the time of the affair.","Investigation"
"The hurricane eventually led to the end of pineapple production in the Florida Keys for commercial purposes in 1915, although this was amplified by two further hurricanes in the following years.","Disaster"
"Culrav gives a platform to the students of MNNIT and those all over India to participate in events which are diverse and exciting.Initiated in 1987, Culrav has emerged as the most resplendent college based fest in Northern India and as one of the most awaited cultural event of the country.","None"
"In May 2013, Ibragim Todashev, a 27-year-old Chechen native and former mixed martial arts fighter who knew Tamerlan Tsarnaev, was shot and killed in Orlando, Florida, by law enforcement officers who had been interviewing him about the Waltham murders as well as the Boston Marathon bombings.","Injury"
"The American force advertised its presence by attempting to attack British outposts elsewhere on Lake Huron and Georgian Bay, so when they eventually landed on Mackinac Island, the garrison was prepared to meet them.","Attack"
"The DSB and JIT findings confirmed earlier claims by American and German intelligence sources as to the missile type and launch area.","Investigation"
"Tomlinson's death sparked a debate in the UK about the relationship between the police, media and public, and the independence of the IPCC.","Injury"
"According to different sources, these are the most violent events in Romania since the 2012 anti-presidential protests.","Protest"
"The trials for the six defendants began September 2012, with defendant Manuel Ortega pleading guilty to four felonies and sentenced the following month to 32 years in prison.","Investigation"
"The Battle of the Beanfield took place over several hours on 1 June 1985, when Wiltshire Police prevented The Peace Convoy, a convoy of several hundred New Age travellers, from setting up the 1985 Stonehenge Free Festival in Wiltshire, England.","Attack"
"As well as music, in 2009 the site also featured a fun fair, street entertainment and artists from The Comedy Store.","None"
"It took four days for the Secret Service to realize that bullets had struck the White House.","Attack"
"Joseph Schweitzer, one of the two American pilots, confessed in 2012 that he had burned the tape containing incriminating evidence upon returning to the American base.","Injury"
"The raid covered more than , beginning in Tennessee and ending in northern Ohio.","Attack"
"At least 20 fatalities were attributed to the storm in New York and New England.","Disaster"
"The flood occurred during Tanzania's rainy season the, months of March, April, and May, during which rainfall ranges from about 150mm to 250 mm.","Disaster"
"It recommended that ""neither negligence nor blame should be attributed to any individual"", but identified several factors.","Investigation"
"However, the unwillingness of some Indian tribes to participate in the expedition forced the French to reduce the scope of the operation and choose an easier target.","Attack"
"On 10 November 1982, Leonid Ilyich Brezhnev, the third General Secretary of the Communist Party of the Soviet Union (CPSU) and the fifth leader of the Soviet Union, died aged 75, a month before his 76th birthday after suffering a heart attack following years of serious ailments.","Injury"
"Nearly all economic activity was disrupted in the worst-hit areas.","None"
"What sets it apart, aside from being a beach show, is the fact that it usually occurs on a Wednesday.","Protest"
"Although the primary festival is held in summer each year, Midsumma works year-round to provide artists, social changers and cultural makers with support and tools to create, present and promote their work.","None"
"The ineffective inquiry, together with the initial accolades for Dyer, fuelled great widespread anger against the British among the Indian populace, leading to the Non-cooperation Movement of 1920–22.","Investigation"
"An ill-conceived proposal to invade Matamoros siphoned much-needed volunteers and provisions from the fledgling Texian Army.","Attack"
"At 05:00 the leading British ship, HMS ""Monarch"", was within range and opened fire on the French squadron, which divided.","None"
"The 2009 ASEAN Para Games officially known as the 5th ASEAN Para Games, was a Southeast Asian disabled multi-sport event held in Kuala Lumpur, Malaysia from 15 to 19 August 2009.","None"
"Protesters also argued that there were insufficient safeguards in place to protect sites based upon user-generated content.","None"
"Qawasmeh's lawyer stated ""What he said during interrogation was that he was responsible for ordering the kidnapping"", and that ""[t]he orders came from him personally.""","Investigation"
"When air traffic control (ATC) contacted the pilot, the pilot's speech had become significantly impaired and he was unable to respond to instructions.","None"
"According to the Syrian government, a suicide bomber attacked buses carrying riot police shortly before an anti-government protest was to begin.","Attack"
"When Flight 5634 was nearing Paris, a Korean Air Boeing 747 burst a tire on landing, causing controllers to close the runway briefly.","Disaster"
"Originally scheduled for 23 performances, the tour was expanded to 34 performances in North America due to heavy demand for tickets; 29 shows were confirmed in the United States with 5 shows in Canada.","Investigation"
"An inquest in Gibraltar ruled that the SAS had acted lawfully, while the European Court of Human Rights held that, although there had been no conspiracy, the planning and control of the operation was so flawed as to make the use of lethal force almost inevitable.","Injury"
"Three of the four SEALs were killed, and a quick reaction force helicopter sent in for their aid was shot down with a rocket-propelled grenade fired from an RPG-7, killing all eight U.S. Navy SEALs and all eight U.S. Army Special Operations aviators on board.","Injury"
"The storm was first identified as a tropical low on 20 November 2013 well to the northwest of Australia.","Investigation"
"In all, one crew member and 11 passengers suffered serious injuries, while eight crew and 99 passengers suffered minor injuries.","Injury"
"As reigning champions, Liverpool received a bye in the first round, which meant that Club Brugge played two matches more to reach the final.","Protest"
"To block the Persian advance, a small force of Greeks blocked the pass of Thermopylae, while an Athenian-dominated Allied navy engaged the Persian fleet in the nearby straits of Artemisium.","None"
"The Spanish evacuated the captured soldiers, 135 civilians and 300 slaves, and destroyed their settlement, which they claimed had been used as a base for piracy and privateering.","Disaster"
"On 19 December 2013, both of the attackers were found guilty of Rigby's murder.","Attack"
"TNA changed the date of the 2008 event to be held in November.","None"
"The clash resulted in one killed on each side and contributed to the worsening ethnic tensions.","Injury"
"This is the only major war Ashoka fought after his accession to the throne.","Attack"
"The Russian troops set out from Kizlyar in April 1796 and stormed the key fortress of Derbent on 10 May.","Attack"
"In August 2015, the Connecticut Supreme Court, in defiance of the State Legislature which had abolished the death penalty only for future cases, ruled that the death penalty was unconstitutional, and commuted all death sentences to life-in-prison, even if that sentencing took place prior to the date that the death penalty was abolished.","None"
"In a televised statement on the evening of July 25, Kennedy said his conduct immediately after the accident ""made no sense to me at all"", and that he regarded his failure to report the accident immediately as ""indefensible"".","Disaster"
"The aircraft involved in the accident was eventually returned to service with a replacement right wing salvaged from Air Canada Flight 797 that had been destroyed by fire after an emergency landing at Cincinnati/Northern Kentucky International Airport earlier that year.","Disaster"
"Having cut this line of retreat, Chaytor's Force proceeded eastwards to attack and capture Es Salt, before riding on to attack and capture the Ottoman rearguard of the Fourth Army defending Amman.","Attack"
"For the first time, the committee opened the entire length of the National Mall as the public viewing area for the swearing-in ceremony, breaking with the tradition of past inaugurations.","Disaster"
"Both sides utilized an explosive incident to settle the rivalry by full-scale war.","Attack"
"Finally, on 10 March, the German withdrawal ended and the last bridges were destroyed.","Disaster"
"They also admitted that they had failed to carry out an effective and independent inquiry into the case.","Investigation"
"The winds also severely damaged crops.","Disaster"
"Eritrea and Ethiopia, two of the world's poorest countries, spent hundreds of millions of dollars on the war and suffered tens of thousands of casualties as a direct consequence of the conflict.","Attack"
"After participants and journalists had been beaten and arrested, organizers urged a change to ""strolling"" on 27 February in order to minimize police reactions while sustaining the cycle of actions.","Injury"
"The 17th Field Artillery Brigade of the United States Army also deployed 200 soldiers from Joint Base Lewis–McChord to help fight the fires.","Disaster"
"The driver, co-driver and second man on the express locomotive all died.","Injury"
"The month before the bombings, the British government had lifted the UVF's status as a proscribed organisation.","Attack"
"In one of the more famous examples of this, a state committee, investigating gambling at the fabled Balinese Room, was told by the local sheriff that he had not raided the establishment because it was a ""private club"" and because he was not a ""member"".","Attack"
"According to Jesse Rosen, CEO of the League of American Orchestras, the Festival is ""distinctive for being focused entirely on contemporary works.""","None"
"The earthquake and tsunami also caused extensive and severe structural damage in north-eastern Japan, including heavy damage to roads and railways as well as fires in many areas, and a dam collapse.","Attack"
"On the north bank of the Ancre, the attack of VIII Corps was a disaster, with large numbers of British troops being shot down in no man's land.","Attack"
"At around midday on 9 May police found the gunman dead inside the master bedroom of the house.","Injury"
"The Battle of the Ancre was fought by the Fifth Army (Lieutenant-General Hubert Gough), against the German 1st Army (General Fritz von Below).","Attack"
"Tensions exist between these states and the central government as well as amongst their native tribal people and migrants from other parts of India.","Attack"
"The explosion came two days after Vladimir Putin won reelection and several weeks after a suicide bombing killed 41 Moscow subway passengers.","Injury"
"At the end of 1940, Hitler confirmed the plan to liquidate ""all leading elements in Poland"".","Investigation"
"The cause of the crash was independently investigated by two agencies in two countries: the United States National Transportation Safety Board (NTSB) and the Indonesian National Transportation Safety Committee (NTSC).","Investigation"
"A subsequent investigation established the cause of the accident as pilot error.","Disaster"
"According to official reports by the National Disaster Risk Reduction and Management Council (NDRRMC), 222 were reported dead, 8 were missing, and 976 people were injured.","Injury"
"Over a period of several days, the system became increasingly organized and was classified as a depression on April 24.","Investigation"
"The Umayyad army retreated in haste before the Türgesh arrived, managing to cross the Oxus river just in time, while their rearguard engaged the pursuing Türgesh.","None"
"The race has been held every year since, except in 1987 when only a half-marathon was run.","None"
"The exodus, constituting 'the biggest expulsion of the war', took place at the end of a truce period, when fighting resumed, prompting Israel to try to improve its control over the Jerusalem road and its coastal route which were under pressure from the Jordanian Arab Legion, Egyptian and Palestinian forces.","Attack"
"The total property damage was estimated at $125 billion (2005 USD), roughly four times the damage wrought by Hurricane Andrew in 1992, tying Katrina with Hurricane Harvey of 2017 as the costliest Atlantic tropical cyclone on record.","Disaster"
"It was a part of the Battle of Pusan Perimeter, and was one of several large engagements fought simultaneously.","Attack"
"Moving westward across the Caribbean Sea, Janet fluctuated in intensity, but generally strengthened before reaching its peak intensity as a Category 5 hurricane with winds of .","Disaster"
"Not counted in the 227 were four victims thought to be children, but whose remains were never claimed or identified.","Investigation"
"The official logo of the First Asiad depicted a bright sun in red with 16 rays and a white circle in the middle of the disc of the sun and eleven rings, representing each participating nation, on a white background, symbolising peace.","None"
"Many of its inhabitants were slaughtered, and the remainder driven off as slaves.","Injury"
"On September 14, Gladys abruptly intensified into a Category 2 hurricane on the Saffir–Simpson hurricane wind scale.","Disaster"
"Including every date on this tour, the first show began on February 27, 2015 in San Francisco and ended on Abu Dhabi on February 12, 2016, nearly a year after the tour's initial announcement.","None"
"Moderate to heavy rains accompanied the system as well, with a storm maxima of also occurring on Centre Island.","Disaster"
"A great number of residents of the area was massacred, and the invaders saved only young men, whom they enslaved.","Injury"
"Miscommunication between the two pilots was cited as a contributing factor.","None"
"It is considered the worst of the nearly 25 riots in the United States during the ""Red Summer"" of 1919, so named because of the racial and labor related violence and fatalities across the nation.","Injury"
"After a short confrontation, Moore was fatally wounded, and his vessel and crew were captured.","Injury"
"The sit-in at Taksim Gezi Park was restored after police withdrew from Taksim Square on 1 June, and developed into a protest camp, with thousands of protesters in tents, organising a library, medical center, food distribution, and their own media.","Protest"
"The battle began when the IDF launched Operation Abiray-Lev (""Stouthearted Men""), attempting to establish a corridor to the canal and allow bridges to be laid for a crossing.","Attack"
"During the recovery effort at the World Trade Center site, workers recovered and identified remains from Flight 175 victims, but many other body fragments could not be identified.","Investigation"
"Following the World War II German-led Axis invasion of Yugoslavia in April 1941, the Kingdom of Yugoslavia was partitioned.","Attack"
"Major damage was sustained by 14,256 additional single-family dwellings, and another 26,211 single-family dwellings received minor damage.","Disaster"
"Shortly afterwards, the constitutional monarchy was restored and the Khmer Rouge was outlawed by the newly formed Cambodian government.","None"
"Over 40% of all cargo crossings from Mexico to the United States crosses through the border checkpoints in Nuevo Laredo.","None"
"Hezbollah's 7 October 2014 attack on Israeli forces, its first declared such operation since 2006, proved the seriousness of the threat.","Attack"
"A major manhunt led to the discovery of the suspects, who exchanged fire with police.","Investigation"
"The Lashkar-e-Jhangvi group claimed responsibility for the blast, the second major attack against the Shia Hazaras in a month.","Attack"
"A total of 30 different crime scenes were investigated.","Investigation"
"The responsibility for investigation was delegated to the Dutch Safety Board (DSB) and the Dutch-led joint investigation team (JIT), who concluded that the airliner was downed by a Buk surface-to-air missile launched from pro-Russian separatist-controlled territory in Ukraine.","Investigation"
"All the accused were arrested and charged with sexual assault and murder.","Injury"
"In 1893, Illinois Governor John Peter Altgeld pardoned the remaining defendants and criticized the trial.","Investigation"
"The 1927 Nova Scotia hurricane (also known as the 1927 Great August Gale or the Great Gale of August 24) was the deadliest Canadian hurricane since at least 1900.","Disaster"
"The killings were extensively covered by German media leading to forming of a public opinion in support of Croatia.","Injury"
"Celtic's Bertie Auld however refused to leave the field on being ""sent off"" and still played for the whole game.","None"
"During the Wars, a central part of British strategy was to isolate French ports from international trade in an attempt to both restrict French imports of food and military supplies and simultaneously to damage the French economy.","Attack"
"The convergence of these forces made the ensuing battle the largest of the civil wars.","Attack"
"The second Schweinfurt raid was a World War II air battle that took place on 14 October 1943, over Nazi Germany between forces of the United States 8th Air Force and German ""Luftwaffe"" fighter arm (""Jagdwaffe"").","Attack"
"After beating Umaga in a Street Fight, Triple H faced off against Umaga in a Survivor Series match.","Attack"
"According to professor Firuz Kazemzadeh, ""it is impossible to pin the blame for the massacres on either side.","Injury"
"The first war was fought contemporaneously with the Lusitanian War in Hispania Ulterior.","Attack"
"Rice crops suffered extensive damage, with losses estimated at up to $10 million (1949 USD, $ USD).","Disaster"
"Mullon was mortally wounded in the engagement, and his crew lost 63 casualties compared to 50 on board ""Nymphe"".","Attack"
"Only 12 of the victims were initially identified.","Investigation"
"These culminated in the Treaty of Paris in 1783, in which King George III recognized the independent United States of America.","None"
"In 2018, over 8,000 participated in the march.","None"
"The four-year NTSB investigation concluded with the approval of the Aircraft Accident Report on August 23, 2000, ending the most extensive, complex, and costly air disaster investigation in U.S. history to that time.","Investigation"
"The Schenecker double homicide occurred on January 27, 2011; 16-year-old Calyx and 13-year-old Beau Schenecker were found dead by police at their home in Tampa, Florida.","Injury"
"The war between the government and Kīngitanga Māori spread to other areas of the North Island, with the biggest single campaign being the invasion of the Waikato in 1863–1864, before hostilities concluded with the pursuits of Riwha Tītokowaru in Taranaki (1868–1869) and guerrilla fighter Te Kooti Arikirangi Te Turuki on the east coast (1868–1872).","Attack"
"The reorganized 11th Army, consisting of 10 divisions, 4 brigades, and over 110,000 men, assumed the task of attacking Hengyang.","Attack"
"Tracking westward, the initial tropical depression intensified into a tropical storm several hours after tropical cyclogenesis.","Disaster"
"With 39 dead, this is the most intense and deadliest earthquake that has hit Guatemala since the earthquake of 1976.","Disaster"
"Insurgent groups known collectively as the mujahideen, as well as smaller Maoist groups, fought a guerrilla war against the Soviet Army and the Democratic Republic of Afghanistan government, mostly in the rural countryside.","Attack"
"The battle that took place on 26 July 1566 during the Northern Seven Years' War and was a slight victory for a Swedish fleet over a combined Danish and Lübecker fleet.","Attack"
"Following the 2016 inquest verdict into the 1989 Hillsborough disaster, previously censored documents suggesting links between the actions of senior South Yorkshire Police officers at both incidents were published.","Investigation"
"Liberted World Tour is the second world tour of Mexican singer Christian Chávez, and started on 2 September, in Sacramento, California, United States.","None"
"In all, Fabian caused around US in damage and eight deaths.","Disaster"
"A second outbreak occurred in 2013 with 368 cases reported by August.","Disaster"
"A number of monuments honour the dead.","Injury"
"The opposition claimed fraud in the process and called for an inquiry.","Investigation"
"Throughout New England, 206 dams were damaged or destroyed, and about 7,000 people were injured.","Disaster"
"Security forces then ""rose to confront these crimes"" and ""taught the murderers a lesson that has snuffed out their breath"".","None"
"The Glorious First of June (also known as the Fourth Battle of Ushant or, in France, as the ' or ') of 1794 was the first and largest fleet action of the naval conflict between the Kingdom of Great Britain and the First French Republic during the French Revolutionary Wars.","Attack"
"The battle occurred at approximately 10 in the morning (local time) on the 31st of August, 1896 near Pasong Kalabaw (Now known as Sta.","Attack"
"About 500 to 600 people were missing, nearly 500 were injured and 15,000 were left homeless.","Injury"
"The feint captured Winnipeg crossroads as the main attack by three battalions one behind the other, advanced from Vancouver Farm, Keerselaere and took Hubner Farm.","Attack"
"The US refused to describe the action as a coup.","Investigation"
"After passing west of Bermuda, the tropical cyclone tracked across numerous shipping lanes.","Disaster"
"On 12 June Berwick was killed by a cannonball while inspecting the trenches, and command of the besiegers fell to Marshals d'Asfeld and Noailles.","Injury"
"In May ""Arriverà"" is certified multiplatinum digital.","Investigation"
"The airstrikes against the PKK resulted in an increase in violence in Turkish Kurdistan.","Attack"
"The city of Winter Park, north of Orlando, also sustained considerable damage since its many old, large oak trees had not experienced high winds.","None"
"Although there were no fatalities in the accident, it highlighted a number of shortcomings with jet aircraft operations at Kansas City Downtown Airport.","Disaster"
"Port Lavaca, Texas was inundated by a 15 ft (4.6 m) storm surge, which at the time was the third highest ever recorded in the state.","Disaster"
"The most crucial supply item in Operation Pedestal was fuel, carried by , an American tanker with a British crew.","None"
"The video has had more than 12 million views as of August 2018.","Protest"
"The Lakota warriors fought back, but many had already been stripped of their guns and disarmed.","Attack"
"The Combat of the Côa (July 24, 1810) was a skirmish that occurred during the Peninsular War period of the Napoleonic Wars.","Attack"
"In early 1998, KLA attacks targeting Yugoslav authorities in Kosovo resulted in an increased presence of Serb paramilitaries and regular forces who subsequently began pursuing a campaign of retribution targeting KLA sympathisers and political opponents; this campaign killed 1,500 to 2,000 civilians and KLA combatants.","Attack"
"In two separate incidents during the manhunt, police shot at three civilians unrelated to Dorner, mistaking their pickup trucks for the vehicle being driven by Dorner.","Disaster"
"In February 2014, Pausini confirmed on her official site that the tour would be prolonged and that more shows would happen after the 20 originally planned.","Investigation"
"The leader of the National Transportation Safety Board (NTSB) team investigating said it was likely that the accident would have been prevented had positive train control (PTC) been installed.","Investigation"
"Two of the conspirators obtained false identification to purchase handguns out-of-state, stalked Turner, and planned to murder him near his workplace in Portland, Oregon.","Injury"
"Severe Tropical Cyclone Ron was the strongest tropical cyclone on record to impact Tonga.","Disaster"
"At least 17 deaths occurred on the islands, though many others—some related only indirectly to the storm—were reported in the aftermath.","Injury"
"Around 4,646 athletes participated at the event, which featured 404 events in 38 sports.","None"
"Because of this, Schueremans was heckled during an appearance on HUMO's Pop Poll, a Belgian alternative award show.","None"
"Yuichi Nishimura and Sachiko Yamagishi were named as men's referee of the year.","None"
"Multiple investigations in the aftermath of the storm concluded that the U.S. Army Corps of Engineers, which had designed and built the region's levees decades earlier, was responsible for the failure of the flood-control systems, though federal courts later ruled that the Corps could not be held financially liable because of sovereign immunity in the Flood Control Act of 1928.","Disaster"
"Due to the severity of the storm, the name Daman was retired and replaced with Denia.","Disaster"
"The Battle of the Bulge, also known as the Ardennes Counteroffensive, was the last major German offensive campaign on the Western Front during World War II, and took place from 16 December 1944 to 25 January 1945.","Attack"
